Keyword,Shop Name,Rating,Reviews Count,Category,Address,Open/Close Time,Website,Phone,Plus Code,Latitude,Longitude,Map URL
Cykelbutik i Danmark,,,,,,,,,,56.2958595,7.8120417,"https://www.google.com/maps/search/Cykelbutik+i+Danmark/@56.2958595,7.8120417,7z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Bicycle shop Denmark,,,,,,,,,,31.4015744,73.0857472,"https://www.google.com/maps/search/Bicycle+shop+Denmark/@31.4015744,73.0857472,12z?entry=ttu&g_ep=EgoyMDI1MDMyNC4wIKXMDSoASAFQAw%3D%3D"
